MSID,MSName,ZSID,ZSName,Achse,HNr,Hoehe,EKoord,NKoord,Richtung,Knummer,Kname,AnzDetektoren,D1ID,D2ID,D3ID,D4ID,lon,lat
Z054M001,Unbekannt,Z054,Rämistrasse (Kantonsschul- und Zürichbergstrasse),Rämistrasse,Unbekannt,ab Zürichbergstrasse,2683959.68,1247473.33,Universität,541,Kantonsschul-/Rämi-/Zürichbergstr,1,16,Unbekannt,Unbekannt,Unbekannt,8.550297654309382,47.37274909967516
Z054M002,Unbekannt,Z054,Rämistrasse (Kantonsschul- und Zürichbergstrasse),Rämistrasse,Unbekannt,vor Kantonsschulstrasse,2683969.38,1247478.98,Heimplatz,541,Kantonsschul-/Rämi-/Zürichbergstr,1,17,Unbekannt,Unbekannt,Unbekannt,8.550427130311189,47.37279867615613
Z055M001,Unbekannt,Z055,Höschgasse (Zollikerstrasse),Höschgasse,104,Unbekannt,2684533.15,1245997.77,See,521,Hammerstr/Höschgasse/Zollikerstr,1,17,Unbekannt,Unbekannt,Unbekannt,8.557611106793026,47.35940553384653
Z055M002,Unbekannt,Z055,Höschgasse (Zollikerstrasse),Höschgasse,104,Unbekannt,2684538.56,1245994.09,Hegibachplatz,521,Hammerstr/Höschgasse/Zollikerstr,2,19,20,Unbekannt,Unbekannt,8.557682015914647,47.359371744327916
Z056M003,Unbekannt,Z056,Zollikerstrasse (Höschgasse),Zollikerstrasse,85,Unbekannt,2684570.33,1245963.48,Zollikon,521,Hammerstr/Höschgasse/Zollikerstr,1,18,Unbekannt,Unbekannt,Unbekannt,8.558096725619858,47.3590923812794
Z056M004,Unbekannt,Z056,Zollikerstrasse (Höschgasse),Zollikerstrasse,85,Unbekannt,2684575.79,1245967.47,einwärts,521,Hammerstr/Höschgasse/Zollikerstr,1,15,Unbekannt,Unbekannt,Unbekannt,8.55816974420174,47.35912756428337
Z057M001,Unbekannt,Z057,Stockerstrasse (Dreikönigstrasse),Stockerstrasse,38,Unbekannt,2682816.79,1246823.7,Stauffacherplatz,351,Dreikönig-/Stockerstr,1,11,Unbekannt,Unbekannt,Unbekannt,8.535046971519535,47.36705135236255
Z057M002,Unbekannt,Z057,Stockerstrasse (Dreikönigstrasse),Stockerstrasse,38,Unbekannt,2682812.4,1246821.41,See,351,Dreikönig-/Stockerstr,1,12,Unbekannt,Unbekannt,Unbekannt,8.534988435783523,47.36703130913556
Z058M001,Unbekannt,Z058,Stampfenbachstrasse (Wasserwerkstrasse),Stampfenbachstrasse,56,Unbekannt,2683379.96,1248329.67,Schaffhauserplatz,373,Stampfenbach-/Wasserwerkstr,1,18,Unbekannt,Unbekannt,Unbekannt,8.542782388658894,47.3805240824023
Z058M002,Unbekannt,Z058,Stampfenbachstrasse (Wasserwerkstrasse),Stampfenbachstrasse,56,Unbekannt,2683370.8,1248325.77,Hauptbahnhof,373,Stampfenbach-/Wasserwerkstr,1,17,Unbekannt,Unbekannt,Unbekannt,8.542660377001537,47.38049016749406
Z059M001,Unbekannt,Z059,Neumühlequai (Sanität),Neumühlequai,40,Unbekannt,2683238.97,1248431.3,Milchbucktunnel,372,Neumühlequai (Ausfahrt Sanität),1,13,Unbekannt,Unbekannt,Unbekannt,8.54093448149524,47.381455904064126
Z059M002,Unbekannt,Z059,Neumühlequai (Sanität),Neumühlequai,40,Unbekannt,2683200.49,1248492.25,Central,372,Neumühlequai (Ausfahrt Sanität),1,14,Unbekannt,Unbekannt,Unbekannt,8.540436301327434,47.38200890913023
Z060M005,Unbekannt,Z060,Hermetschloobrücke,Hermetschloobrücke,Unbekannt,vor Bernerstrasse Süd,2678202.38,1250180.13,Bernerstrasse,786,Bernerstr/A1 Limmatbrücke,2,12,13,Unbekannt,Unbekannt,8.474550080868074,47.397800943747235
Z060M006,Unbekannt,Z060,Hermetschloobrücke,Hermetschloobrücke,Unbekannt,ab Bernerstrasse,2678191.96,1250174.04,Badenerstrasse,786,Bernerstr/A1 Limmatbrücke,1,11,Unbekannt,Unbekannt,Unbekannt,8.47441100131543,47.39774741092564
Z061M001,Unbekannt,Z061,Duttweiler Brücke,Duttweiler Brücke,Unbekannt,ab Pfingstweidstrasse,2681022.02,1249303.64,Hohlstrasse,426,Duttweilerstr/Duttweilerbrücke/Pfingstweidstr,2,11,14,Unbekannt,Unbekannt,8.511737732884527,47.38957755009628
Z061M002,Unbekannt,Z061,Duttweiler Brücke,Duttweiler Brücke,Unbekannt,vor Pfingstweidstrasse,2681041.14,1249300.71,Pfingstweidstrasse,426,Duttweilerstr/Duttweilerbrücke/Pfingstweidstr,3,12,13,15,Unbekannt,8.511990409303692,47.38954884764983
Z062M001,Unbekannt,Z062,Brunaustrasse (Rieterstrasse),Brunaustrasse,Unbekannt,vor Knoten,2682150.75,1245401.35,Enge,661,Brunau-/Rieterstr,1,18,Unbekannt,Unbekannt,Unbekannt,8.525969412334401,47.35434290898583
Z062M002,Unbekannt,Z062,Brunaustrasse (Rieterstrasse),Brunaustrasse,Unbekannt,ab Knoten,2682141.89,1245399.4,Allmend,661,Brunau-/Rieterstr,1,17,Unbekannt,Unbekannt,Unbekannt,8.5258517991825,47.354326475873975
Z063M001,Unbekannt,Z063,Albisriederstrasse (Hubertus),Albisriederstrasse,Unbekannt,vor Hubertus,2680111.39,1247945.02,Hubertus,419,Albisrieder-/Gutstr (Hubertus),1,15,Unbekannt,Unbekannt,Unbekannt,8.499434950111368,47.37747029418059
Z063M002,Unbekannt,Z063,Albisriederstrasse (Hubertus),Albisriederstrasse,Unbekannt,ab Hubertus,2680119.19,1247929.69,Albisriederplatz,419,Albisrieder-/Gutstr (Hubertus),1,14,Unbekannt,Unbekannt,Unbekannt,8.499535478505594,47.37733147658816
Z064M003,Unbekannt,Z064,Gutstrasse (Hubertus),Gutstrasse,230,Unbekannt,2680149.109,1247840.135,Hubertus,419,Albisrieder-/Gutstr (Hubertus),1,17,Unbekannt,Unbekannt,Unbekannt,8.499915570538995,47.376522431673855
Z064M004,Unbekannt,Z064,Gutstrasse (Hubertus),Gutstrasse,230,Unbekannt,2680149.561,1247829.965,Birmensdorferstrasse,419,Albisrieder-/Gutstr (Hubertus),1,16,Unbekannt,Unbekannt,Unbekannt,8.499919733821812,47.37643091353159
Z065M001,Unbekannt,Z065,Hardturmstrasse (Fischerweg),Hardturmstrasse,Unbekannt,Fischerweg,2681559.27,1249548.02,auswärts,467,Hardturmstr 11/66 (Fg-Uebergang Depot Hard),2,11,13,Unbekannt,Unbekannt,8.518897109793633,47.39170905109493
Z065M002,Unbekannt,Z065,Hardturmstrasse (Fischerweg),Hardturmstrasse,Unbekannt,Fischerweg,2681566.35,1249538.12,einwärts,467,Hardturmstr 11/66 (Fg-Uebergang Depot Hard),1,15,Unbekannt,Unbekannt,Unbekannt,8.51898906908272,47.39161914024378
Z066M001,Unbekannt,Z066,Stauffacherstrasse (Feldstrasse),Stauffacherstrasse,151,Unbekannt,2681813.28,1247994.07,Helvetiaplatz,62,Feld-/Stauffacherstr,2,12,13,Unbekannt,Unbekannt,8.521976974651157,47.37770230477258
Z066M002,Unbekannt,Z066,Stauffacherstrasse (Feldstrasse),Stauffacherstrasse,151,Unbekannt,2681828.48,1247992.53,Seebahnstrasse,62,Feld-/Stauffacherstr,1,11,Unbekannt,Unbekannt,Unbekannt,8.52217794226699,47.377686567459335
Z067M001,Unbekannt,Z067,Manessestrasse (Stauffacherquai),Manessestrasse,4,Unbekannt,2682225.55,1247066.11,A3 und Schimmelstrasse,16,Manessestr/Sihlhölzlibrücke/Stauffacherquai,2,14,15,Unbekannt,Unbekannt,8.527264999763277,47.36930547708144
Z068M001,Unbekannt,Z068,Schimmelstrasse (Werdstrasse),Schimmelstrasse,10,Unbekannt,2682050.28,1247164.9,Manessestrasse,14,Schimmel-/Werdstr (Schulweg),2,13,14,Unbekannt,Unbekannt,8.524962883805927,47.37021578127958
Z068M002,Unbekannt,Z068,Schimmelstrasse (Werdstrasse),Schimmelstrasse,10,Unbekannt,2682054.0,1247168.0,Bahnhof Wiedikon,14,Schimmel-/Werdstr (Schulweg),1,12,Unbekannt,Unbekannt,Unbekannt,8.525012698125085,47.37024319765527
Z069M001,Unbekannt,Z069,Seebahnstrasse (Stauffacherstrasse),Seebahnstrasse,251,Unbekannt,2681637.49,1248112.09,Hohlstrasse,35,Seebahn-/Stauffacherstr (Schulweg),1,19,Unbekannt,Unbekannt,Unbekannt,8.519671028153146,47.37878550851513
Z069M002,Unbekannt,Z069,Seebahnstrasse (Stauffacherstrasse),Seebahnstrasse,231,Unbekannt,2681612.0,1248083.0,Badenerstrasse,35,Seebahn-/Stauffacherstr (Schulweg),1,20,Unbekannt,Unbekannt,Unbekannt,8.519328226892359,47.37852704850412
Z070M001,Unbekannt,Z070,Hohlstrasse (Erismannstrasse),Hohlstrasse,167,Unbekannt,2681629.07,1248307.08,Hardplatz,36,Hohl-/Seebahnstr (Schulweg),2,19,20,Unbekannt,Unbekannt,8.519595110234201,47.38054017249113
Z070M002,Unbekannt,Z070,Hohlstrasse (Erismannstrasse),Hohlstrasse,167,Unbekannt,2681629.46,1248290.46,Seebahnstrasse,36,Hohl-/Seebahnstr (Schulweg),1,21,Unbekannt,Unbekannt,Unbekannt,8.519597242575477,47.380390654096935
Z071M001,Unbekannt,Z071,Badenerstrasse (Zypressenstrasse),Badenerstrasse,298,Unbekannt,2681183.65,1247898.67,Albisriederplatz,38,Badener-/Zypressenstr,1,12,Unbekannt,Unbekannt,Unbekannt,8.513623307969933,47.37692221141594
Z071M002,Unbekannt,Z071,Badenerstrasse (Zypressenstrasse),Badenerstrasse,298,Unbekannt,2681175.41,1247887.5,Seebahnstrasse,38,Badener-/Zypressenstr,1,13,Unbekannt,Unbekannt,Unbekannt,8.513512185320067,47.37682277025372
Z072M001,Unbekannt,Z072,Manessestrasse (Weststrasse),Manessestrasse,Unbekannt,Weststrasse,2682047.59,1247026.35,auswärts,18,Manesse-/Weststr,2,11,12,Unbekannt,Unbekannt,8.524901881687528,47.368970079604274
Z072M002,Unbekannt,Z072,Manessestrasse (Weststrasse),Manessestrasse,Unbekannt,Weststrasse,2682055.0,1247019.0,einwärts,18,Manesse-/Weststr,3,13,14,15,Unbekannt,8.524998627443635,47.36890305545096
Z073M001,Unbekannt,Z073,Stauffacherbrücke,Stauffacherbrücke,Unbekannt,beim Stauffacherquai,2682474.28,1247275.42,See,365,Stauffacherbrücke/Stauffacherquai/Stauffacherstr,1,14,Unbekannt,Unbekannt,Unbekannt,8.530596239868974,47.37115680332748
Z073M002,Unbekannt,Z073,Stauffacherbrücke,Stauffacherbrücke,Unbekannt,bei Selnaustrasse,2682509.27,1247271.02,Stauffacher,364,Selnau-/Sihlhölzlistr/Stauffacherbrücke (Bahnhof Selnau),1,14,Unbekannt,Unbekannt,Unbekannt,8.531058641560062,47.37111285231324
Z074M002,Unbekannt,Z074,Stauffacherquai (Stauffacherbrücke),Stauffacherquai,Unbekannt,ab Stauffacherbrücke,2682467.01,1247308.4,Hauptbahnhof,365,Stauffacherbrücke/Stauffacherquai/Stauffacherstr,1,13,Unbekannt,Unbekannt,Unbekannt,8.530506071864162,47.37145431528709
Z075M001,Unbekannt,Z075,Stauffacherstrasse (Stauffacherbrücke),Stauffacherbrücke,Unbekannt,beim Stauffacherquai,2682475.72,1247274.81,See,365,Stauffacherbrücke/Stauffacherquai/Stauffacherstr,1,14,Unbekannt,Unbekannt,Unbekannt,8.53061519082687,47.371151137133154
Z075M003,Unbekannt,Z075,Stauffacherstrasse (Stauffacherbrücke),Stauffacherstrasse,7,Unbekannt,2682438.72,1247315.24,Stauffacher,365,Stauffacherbrücke/Stauffacherquai/Stauffacherstr,1,12,Unbekannt,Unbekannt,Unbekannt,8.530132814144691,47.37151936981992
Z076M001,Unbekannt,Z076,Pfingstweidstrasse (Sportweg),Pfingstweidstrasse,Unbekannt,70m ab Sportweg,2680534.0,1249530.0,auswärts,428,Pfingstweidstr/Sportweg,2,18,19,Unbekannt,Unbekannt,8.505315600321229,47.39167313281813
Z076M002,Unbekannt,Z076,Pfingstweidstrasse (Sportweg),Pfingstweidstrasse,Unbekannt,40m ab Aargauerstrasse,2680408.0,1249570.0,einwärts,429,Aargauer-/Pfingstweidstr,2,29,30,Unbekannt,Unbekannt,8.503654097423942,47.39204825997651
Z077M001,Unbekannt,Z077,Sihlhölzlibrücke (Ulmbergtunnel),Sihlhölzlibrücke,Unbekannt,ab Sihlhölzlistrasse,2682331.58,1247014.38,Manessestrasse,27,Sihlhölzlibrücke/Sihlhölzli-/Tunnelstr,3,11,12,13,Unbekannt,8.528659109308855,47.36882701019932
Z078M001,Unbekannt,Z078,Birmensdorferstrasse (Wasserschöpfi),Birmensdorferstrasse,380,Unbekannt,2680570.0,1247051.0,auswärts,32,Birmensdorferstr/Wasserschöpfi (Heuried),1,14,Unbekannt,Unbekannt,Unbekannt,8.505346061025707,47.36937407227268
Z078M002,Unbekannt,Z078,Birmensdorferstrasse (Wasserschöpfi),Birmensdorferstrasse,343,Unbekannt,2680627.0,1247048.0,einwärts,32,Birmensdorferstr/Wasserschöpfi (Heuried),1,12,Unbekannt,Unbekannt,Unbekannt,8.506100089309687,47.3693401207719
Z079M003,Unbekannt,Z079,A3W (A4 Uetlibergtunnel Brunau),A3W (A4),Unbekannt,Brunau,2681711.03,1244591.58,Uetlibergtunnel,783,A3 Allmendstr,2,5,6,Unbekannt,Unbekannt,8.520002347569006,47.347114922947426
Z079M004,Unbekannt,Z079,A3W (A4 Uetlibergtunnel Brunau),A3W (A4),Unbekannt,Brunau,2681737.76,1244573.5,einwärts,783,A3 Allmendstr,2,7,8,Unbekannt,Unbekannt,8.520352753710307,47.34694900745357
Z080M005,Unbekannt,Z080,A3W (Chur Brunau),A3W,Unbekannt,Brunau,2681720.14,1244585.09,Chur,783,A3 Allmendstr,2,9,10,Unbekannt,Unbekannt,8.520121711850527,47.34705542613411
Z080M006,Unbekannt,Z080,A3W (Chur Brunau),A3W,Unbekannt,Brunau,2681728.49,1244579.52,einwärts,783,A3 Allmendstr,2,11,12,Unbekannt,Unbekannt,8.520231187005958,47.34700429740876
Z081M001,Unbekannt,Z081,Pfingstweidstrasse (Welti Furrer Ausfahrt),Pfingstweidstrasse,16,Unbekannt,2681455.2,1249140.27,auswärts,422,Pfingstweidstr (Welti Furrer Ausfahrt),2,16,17,Unbekannt,Unbekannt,8.517444608368994,47.38805488411203
Z081M002,Unbekannt,Z081,Pfingstweidstrasse (Welti Furrer Ausfahrt),Pfingstweidstrasse,1,Unbekannt,2681492.61,1249103.94,Hardbrücke,422,Pfingstweidstr (Welti Furrer Ausfahrt),2,14,15,Unbekannt,Unbekannt,8.517933398837576,47.38772352840563
Z082M001,Unbekannt,Z082,Hardbrücke (Hardstrasse),Hardstrasse,Unbekannt,Auffahrtsrampe,2681290.57,1248593.98,Bucheggplatz,81,Hardbrücke/Hohlstr (Abfahrtsrampe),1,15,Unbekannt,Unbekannt,Unbekannt,8.515165216890997,47.383162226421334
Z082M002,Unbekannt,Z082,Hardbrücke (Hardstrasse),Hardstrasse,Unbekannt,Abfahrtsrampe,2681286.9,1248596.51,Albissriederplatz,81,Hardbrücke/Hohlstr (Abfahrtsrampe),1,14,Unbekannt,Unbekannt,Unbekannt,8.51511708035729,47.383185432496894
Z083M001,Unbekannt,Z083,Hardbrücke Rampen (Hohlstrasse),Auffahrtsrampe Hohlstrasse Ost,Unbekannt,vor Hardbrücke,2681323.95,1248627.21,Bucheggplatz,82,Hardbrücke/Hohlstr (Auffahrtsrampe),1,12,Unbekannt,Unbekannt,Unbekannt,8.515613255748413,47.383456957178055
Z083M003,Unbekannt,Z083,Hardbrücke Rampen (Hohlstrasse),Abfahrtsrampe Hohlstrasse West,Unbekannt,ab Hardbrücke,2681302.84,1248632.97,Hohlstrasse,81,Hardbrücke/Hohlstr (Abfahrtsrampe),1,13,Unbekannt,Unbekannt,Unbekannt,8.51533477373783,47.383511364459345
Z084M001,Unbekannt,Z084,Angererstrasse Tunnelstrasse (Ulmbergtunnel),Angererstrasse,Unbekannt,Tunnelportal,2682575.0,1246766.0,Sihlhölzli,744,Ulmbergtunnel (Betriebsstatus und Zählstelle),1,1,Unbekannt,Unbekannt,Unbekannt,8.531835657530307,47.36656277312665
Z084M002,Unbekannt,Z084,Angererstrasse Tunnelstrasse (Ulmbergtunnel),Tunnelstrasse,Unbekannt,Tunnelportal,2682555.0,1246755.0,Bleicherweg,744,Ulmbergtunnel (Betriebsstatus und Zählstelle),1,6,Unbekannt,Unbekannt,Unbekannt,8.531568883645788,47.36646635130072
Z085M003,Unbekannt,Z085,Alfred-Escher-Strasse (Ulmbergtunnel),Alfred-Escher-Strasse,Unbekannt,Tunnelportal,2682568.0,1246765.0,Sihlhölzli,744,Ulmbergtunnel (Betriebsstatus und Zählstelle),2,2,3,Unbekannt,Unbekannt,8.531742812120694,47.36655465676169
Z085M004,Unbekannt,Z085,Alfred-Escher-Strasse (Ulmbergtunnel),Alfred-Escher-Strasse,Unbekannt,Tunnelportal,2682562.0,1246759.0,See,744,Ulmbergtunnel (Betriebsstatus und Zählstelle),2,4,5,Unbekannt,Unbekannt,8.531662282054508,47.366501448021026
Z086M003,Unbekannt,Z086,Binzmuehlestrasse (Seebacherstrasse),Binzmühlestrasse,Unbekannt,vor Seebacherstrasse,2681645.0,1252090.0,Affoltern,784,Binzmühle-/Seebacherstr,1,4,Unbekannt,Unbekannt,Unbekannt,8.520496634375954,47.41455927495323
Z086M004,Unbekannt,Z086,Binzmuehlestrasse (Seebacherstrasse),Binzmühlestrasse,Unbekannt,ab Seebacherstrasse,2681650.0,1252084.0,Oerlikon,784,Binzmühle-/Seebacherstr,1,3,Unbekannt,Unbekannt,Unbekannt,8.520561784516534,47.41450469522589
Z087M001,Unbekannt,Z087,Wehntalerstrasse (Nordheimstrasse),Wehntalerstrasse,153,Unbekannt,2682671.0,1250955.0,Affoltern,222,Birch-/Wehntalerstr,1,18,Unbekannt,Unbekannt,Unbekannt,8.533880431162403,47.40422388092822
Z087M002,Unbekannt,Z087,Wehntalerstrasse (Nordheimstrasse),Wehntalerstrasse,153,Unbekannt,2682668.0,1250941.0,einwärts,222,Birch-/Wehntalerstr,1,17,Unbekannt,Unbekannt,Unbekannt,8.53383810273051,47.404098351353205
Z088M001,Unbekannt,Z088,Regensbergstrasse (Birchstrasse),Regensbergstrasse,Unbekannt,ab Birchstrasse,2682930.0,1251564.0,Affoltern,243,Birchplatz (Birch-/Regensbergstr Schulweg),1,21,Unbekannt,Unbekannt,Unbekannt,8.537424278824602,47.409668227295285
Z088M002,Unbekannt,Z088,Regensbergstrasse (Birchstrasse),Regensbergstrasse,Unbekannt,vor Birchstrasse,2682940.0,1251551.0,Oerlikon,243,Birchplatz (Birch-/Regensbergstr Schulweg),2,19,20,Unbekannt,Unbekannt,8.53755434673886,47.40955005526877
Z089M001,Unbekannt,Z089,Wallisellenstrasse (Saatlenstrasse),Wallisellenstrasse,Unbekannt,vor Saatlenstrasse,2684870.0,1251725.0,auswärts,127,Saatlen-/Wallisellenstr (Schulweg),1,11,Unbekannt,Unbekannt,Unbekannt,8.56315583371858,47.410868961048024
Z089M002,Unbekannt,Z089,Wallisellenstrasse (Saatlenstrasse),Wallisellenstrasse,Unbekannt,ab Saatlenstrasse,2684856.0,1251730.0,einwärts,127,Saatlen-/Wallisellenstr (Schulweg),1,12,Unbekannt,Unbekannt,Unbekannt,8.56297130768755,47.410915731484046
Z090M001,Unbekannt,Z090,Winterthurerstrasse (Luchswiesenstrasse),Winterthurerstrasse,Unbekannt,vor Luchswiesenstrasse,2686466.0,1251268.0,auswärts,136,Luchswiesen-/Winterthurerstr,1,21,Unbekannt,Unbekannt,Unbekannt,8.58421153000025,47.40655142737107
Z090M002,Unbekannt,Z090,Winterthurerstrasse (Luchswiesenstrasse),Winterthurerstrasse,Unbekannt,ab Luchswiesenstrasse,2686453.0,1251269.0,einwärts,136,Luchswiesen-/Winterthurerstr,1,20,Unbekannt,Unbekannt,Unbekannt,8.584039511034177,47.40656212739204
Z091M001,Unbekannt,Z091,Dreikönigstrasse (Genferstrasse),Dreikönigstrasse,Unbekannt,ab Genferstrasse,2682703.0,1246710.0,Talstrasse,349,Dreikönig-/Genferstr,2,11,12,Unbekannt,Unbekannt,8.533519686016596,47.3660430921639
Z092M001,Unbekannt,Z092,Am Wasser (Hardeggstrasse),Am Wasser,79,Unbekannt,2680353.27,1250146.37,auswärts,788,Am Wasser 79,1,12,Unbekannt,Unbekannt,Unbekannt,8.50303281319898,47.397238448555676
Z092M002,Unbekannt,Z092,Am Wasser (Hardeggstrasse),Am Wasser,79,Unbekannt,2680351.25,1250143.93,einwärts,788,Am Wasser 79,1,11,Unbekannt,Unbekannt,Unbekannt,8.50300561996929,47.397216751165004
Z093M001,Unbekannt,Z093,Hardturmstrasse (Bernoullihäuser),Hardturmstrasse,253,Unbekannt,2680756.38,1249768.58,auswärts,414,Hardturmstr (Bernoullihäuser(Fg-Uebergang)),1,12,Unbekannt,Unbekannt,Unbekannt,8.508303780652897,47.39379154655607
Z093M002,Unbekannt,Z093,Hardturmstrasse (Bernoullihäuser),Hardturmstrasse,253,Unbekannt,2680804.49,1249763.88,einwärts,414,Hardturmstr (Bernoullihäuser(Fg-Uebergang)),1,11,Unbekannt,Unbekannt,Unbekannt,8.508940105690792,47.393743377839414
Z095M001,Unbekannt,Z095,Schwamendingerstrasse (Dörflistrasse),Schwamendingerstrasse,Unbekannt,25m ab Dörflistrasse,2683960.76,1251252.12,Schwamendingen,103,Dörfli-/Schwamendingenstr (Schulweg),1,14,Unbekannt,Unbekannt,Unbekannt,8.551021170849818,47.406732792290654
Z095M002,Unbekannt,Z095,Schwamendingerstrasse (Dörflistrasse),Schwamendingerstrasse,Unbekannt,25m vor Dörflistrasse,2683962.29,1251255.28,Oerlikon,103,Dörfli-/Schwamendingenstr (Schulweg),1,11,Unbekannt,Unbekannt,Unbekannt,8.551042032583728,47.40676101592694
Z096M003,Unbekannt,Z096,Katzenschwanzstrasse (Witikonerstrasse),Katzenschwanzstrasse,Unbekannt,ab Witikonerstrasse,2687489.57,1246167.45,auswärts,534,Katzenschwanz-/Witikonerstr,1,16,Unbekannt,Unbekannt,Unbekannt,8.596773509501578,47.360545714489575
Z096M004,Unbekannt,Z096,Katzenschwanzstrasse (Witikonerstrasse),Katzenschwanzstrasse,Unbekannt,vor Witikonerstrasse,2687484.89,1246164.33,einwärts,534,Katzenschwanz-/Witikonerstr,1,15,Unbekannt,Unbekannt,Unbekannt,8.596710957238347,47.36051827658214
Z097M001,Unbekannt,Z097,Hofwiesenstrasse (Brunnenhofweg),Hofwiesenstrasse,Unbekannt,vor Brunnenhofweg,2682722.32,1250622.32,Oerlikon,223,Brunnenhofweg/Hofwiesenstr,1,12,Unbekannt,Unbekannt,Unbekannt,8.534498701871692,47.4012255456533
Z097M002,Unbekannt,Z097,Hofwiesenstrasse (Brunnenhofweg),Hofwiesenstrasse,Unbekannt,ab Brunnenhofweg,2682704.5,1250615.65,Bucheggplatz,223,Brunnenhofweg/Hofwiesenstr,1,11,Unbekannt,Unbekannt,Unbekannt,8.534261426307614,47.40116779828504
Z098M001,Unbekannt,Z098,Letzigraben (Hubertus),Letzigraben,Unbekannt,ab Albisriederstrasse,2680065.92,1247982.342,Letzigrund,420,Albisriederstr/Letzigraben (Hubertus),1,18,Unbekannt,Unbekannt,Unbekannt,8.498839600449452,47.37781147351969
Z098M002,Unbekannt,Z098,Letzigraben (Hubertus),Letzigraben,Unbekannt,vor Albisriederstrasse,2680054.761,1247971.654,auswärts,420,Albisriederstr/Letzigraben (Hubertus),2,19,20,Unbekannt,Unbekannt,8.498689941808433,47.37771670763339
Z099M001,Unbekannt,Z099,Albisriederstrasse (Freilagerstrasse),Albisriederstrasse,263,Unbekannt,2679611.727,1247985.555,einwärts,449,Albisrieder-/Freilagerstr (Tramschleuse),1,11,Unbekannt,Unbekannt,Unbekannt,8.492826578362257,47.3778954025705
Z099M002,Unbekannt,Z099,Albisriederstrasse (Freilagerstrasse),Albisriederstrasse,Unbekannt,nach Freilagerstrasse,2679605.908,1247992.186,auswärts,449,Albisrieder-/Freilagerstr (Tramschleuse),1,12,Unbekannt,Unbekannt,Unbekannt,8.49275071308092,47.37795574107705
Z100M001,Unbekannt,Z100,Rautistrasse (Luggwegstrasse),Rautistrasse,Unbekannt,vor Luggwegstrasse,2679266.719,1248465.663,Altstetter-/Luggwegstrasse,446,Luggweg-/Rautistr,2,17,18,Unbekannt,Unbekannt,8.488343638038742,47.382254817375305
Z100M002,Unbekannt,Z100,Rautistrasse (Luggwegstrasse),Rautistrasse,Unbekannt,nach Luggwegstrasse,2679274.175,1248454.831,Albisriederstrasse,446,Luggweg-/Rautistr,1,19,Unbekannt,Unbekannt,Unbekannt,8.488440446198242,47.38215650348418
Z101M005,Unbekannt,Z101,Altstetterstrasse (Algirstrasse),Altstetterstrasse,Unbekannt,nach Algirstrasse,2678914.0,1248430.0,einwärts,445,Altstetter-/Rautistrasse,1,17,Unbekannt,Unbekannt,Unbekannt,8.483666891775396,47.381976424759245
Z101M006,Unbekannt,Z101,Altstetterstrasse (Algirstrasse),Altstetterstrasse,Unbekannt,vor Algirstrasse,2678911.0,1248430.0,auswärts,445,Altstetter-/Rautistrasse,1,18,Unbekannt,Unbekannt,Unbekannt,8.483627168089038,47.381976784066346
Z102M001,Unbekannt,Z102,Badenerstrasse (Farbhof),Badenerstrasse,738,(vor Farbhof),2678637.0,1249346.0,auswärts,454,Badenerstr 779 (FG-Übergang),1,13,Unbekannt,Unbekannt,Unbekannt,8.480160055951567,47.390247526900005
Z102M002,Unbekannt,Z102,Badenerstrasse (Farbhof),Badenerstrasse,738,(nach Farbhof),2678632.0,1249335.0,einwärts,454,Badenerstr 779 (FG-Übergang),1,14,Unbekannt,Unbekannt,Unbekannt,8.480091906062121,47.39014919609748
Z103M001,Unbekannt,Z103,Hohlstrasse (Farbhof),Hohlstrasse,Unbekannt,Werdhölzlistrasse,2678736.674,1249525.658,auswärts,452,Hohl-/Werdhölzlistr,1,13,Unbekannt,Unbekannt,Unbekannt,8.481511688460825,47.39185136055041
Z103M002,Unbekannt,Z103,Hohlstrasse (Farbhof),Hohlstrasse,639,Unbekannt,2678790.668,1249531.613,einwärts,452,Hohl-/Werdhölzlistr,1,14,Unbekannt,Unbekannt,Unbekannt,8.482227817001686,47.391898460536666
Z104M001,Unbekannt,Z104,Bändliweg (Bändlistrasse),Bändliweg,Unbekannt,nach Bändlistrasse,2679019.898,1249981.167,Altstetten,463,Bändlistr/Bändliweg/Grünauring,1,14,Unbekannt,Unbekannt,Unbekannt,8.485343085960778,47.39591402336358
Z104M002,Unbekannt,Z104,Bändliweg (Bändlistrasse),Bändliweg,Unbekannt,vor Bändlistrasse,2679022.818,1249979.16,Höngg/Europabrücke,463,Bändlistr/Bändliweg/Grünauring,1,13,Unbekannt,Unbekannt,Unbekannt,8.485381405866594,47.39589562331732
Z105M001,Unbekannt,Z105,Lenggstrasse (Lengghalde),Lenggstrasse,Unbekannt,Lengghalde,2685783.86,1245475.61,Südstrasse,528,Forch-/Lenggstr,1,13,Unbekannt,Unbekannt,Unbekannt,8.574064754077387,47.354547965104096
Z105M002,Unbekannt,Z105,Lenggstrasse (Lengghalde),Lenggstrasse,Unbekannt,Lengghalde,2685785.92,1245472.68,Forchstrasse,528,Forch-/Lenggstr,1,14,Unbekannt,Unbekannt,Unbekannt,8.574091455393893,47.35452134644308
